Entity,Year,Investment_BillionDollar
Mondo,2015,317
Mondo,2016,321
Mondo,2017,319
Mondo,2018,317
Mondo,2019,319
Mondo,2020,288
Nord America,2015,58
Nord America,2016,55
Nord America,2017,47
Nord America,2018,52
Nord America,2019,55
Nord America,2020,49
Sud e Centro America,2015,24
Sud e Centro America,2016,20
Sud e Centro America,2017,16
Sud e Centro America,2018,16
Sud e Centro America,2019,15
Sud e Centro America,2020,16
Europa,2015,76
Europa,2016,76
Europa,2017,77
Europa,2018,74
Europa,2019,72
Europa,2020,61
Africa,2015,10
Africa,2016,10
Africa,2017,9
Africa,2018,8
Africa,2019,8
Africa,2020,10
Medio Oriente,2015,2
Medio Oriente,2016,2
Medio Oriente,2017,3
Medio Oriente,2018,3
Medio Oriente,2019,3
Medio Oriente,2020,3
Asia Pacifico,2015,145
Asia Pacifico,2016,155
Asia Pacifico,2017,164
Asia Pacifico,2018,161
Asia Pacifico,2019,163
Asia Pacifico,2020,147
Mondo Complessivo,2015,1746
Mondo Complessivo,2016,1607
Mondo Complessivo,2017,1593
Mondo Complessivo,2018,1588
Mondo Complessivo,2019,1572
Mondo Complessivo,2020,1232
