Entity,Code,Year,CoalReserves
Asia Pacific,,2019,4.56813E+11
Australia,AUS,2019,1.49079E+11
Brazil,BRA,2019,6596000000
Bulgaria,BGR,2019,2366000000
CIS,,2019,1.90655E+11
Canada,CAN,2019,6582000000
China,CHN,2019,1.41595E+11
Colombia,COL,2019,4554000000
Czechia,CZE,2019,2927000000
Europe,,2019,1.35109E+11
Europe (other),,2019,6281000000
Germany,DEU,2019,35900000000
Greece,GRC,2019,2876000000
Hungary,HUN,2019,2909000000
India,IND,2019,1.05931E+11
Indonesia,IDN,2019,39891000000
Japan,JPN,2019,350000000
Kazakhstan,KAZ,2019,25605000000
Mexico,MEX,2019,1211000000
Middle East,,2019,1203000000
Middle East & Africa,,2019,16040000000
Mongolia,MNG,2019,2520000000
New Zealand,NZL,2019,7575000000
North America,,2019,2.5733E+11
Other Africa,,2019,4442000000
Other Asia & Pacific,,2019,2059000000
Other CIS,,2019,1509000000
Other S. & Cent. America,,2019,1808000000
Pakistan,PAK,2019,3064000000
Poland,POL,2019,26932000000
Romania,ROU,2019,291000000
Russia,RUS,2019,1.62166E+11
Serbia,SRB,2019,7514000000
South & Central America,,2019,13689000000
South Africa,ZAF,2019,9893000000
South Korea,KOR,2019,326000000
Spain,ESP,2019,1187000000
Thailand,THA,2019,1063000000
Turkey,TUR,2019,11525000000
Ukraine,UKR,2019,34375000000
United Kingdom,GBR,2019,26000000
United States,USA,2019,2.49537E+11
Uzbekistan,UZB,2019,1375000000
Venezuela,VEN,2019,731000000
Vietnam,VNM,2019,3360000000
World,OWID_WRL,2019,1.06964E+12
Zimbabwe,ZWE,2019,502000000
