Entity,Code,Year,CoalProduction,OilProduction,GasProduction
Africa,,1981,909.9040713,2773.140062,264.7482514
Africa,,1982,998.7129937,2666.06156,325.113153
Africa,,1983,1011.873606,2702.351415,436.9571786
Africa,,1984,1128.453748,2885.779348,458.6510607
Africa,,1985,1198.911621,3000.330927,505.6786142
Africa,,1986,1229.492178,2991.71151,530.143556
Africa,,1987,1230.775918,2997.637391,578.9786557
Africa,,1988,1264.932466,3124.963679,617.5327736
Africa,,1989,1228.451383,3449.03182,677.4085098
Africa,,1990,1221.226996,3696.371821,721.5911703
Africa,,1991,1244.815806,3834.597156,773.4523489
Africa,,1992,1273.140413,3907.297513,808.2834459
Africa,,1993,1296.997978,3856.359525,833.4073884
Africa,,1994,1348.032837,3848.592396,789.6468493
Africa,,1995,1416.044543,3910.952949,872.7059206
Africa,,1996,1411.68631,4037.574349,933.3257504
Africa,,1997,1501.608783,4131.453804,1041.611857
Africa,,1998,1521.747727,4145.346221,1109.317241
Africa,,1999,1519.338394,4028.149016,1216.726719
Africa,,2000,1518.018876,4321.54056,1351.01351
Africa,,2001,1514.258154,4278.227367,1396.444162
Africa,,2002,1488.924678,4307.26004,1460.083914
Africa,,2003,1599.961889,4684.481495,1568.501029
Africa,,2004,1634.859728,5212.513063,1641.080018
Africa,,2005,1645.395055,5404.720311,1710.642303
Africa,,2006,1634.158871,5530.834937,1851.134382
Africa,,2007,1633.505791,5646.26579,1957.178666
Africa,,2008,1659.748736,5703.680522,2038.587543
Africa,,2009,1645.72904,5487.11064,1921.288088
Africa,,2010,1706.973154,5664.29015,2023.26373
Africa,,2011,1697.519106,4722.236705,2017.387783
Africa,,2012,1766.915196,5142.921035,2067.527783
Africa,,2013,1771.994366,4762.68022,1983.385145
Africa,,2014,1831.723184,4542.895794,1986.874154
Africa,,2015,1758.626213,4496.939603,2039.580715
Africa,,2016,1780.339288,4239.258037,2059.14477
Africa,,2017,1845.275472,4475.462403,2241.846696
Africa,,2018,1897.370813,4588.607321,2362.486678
Africa,,2019,1848.779356,4640.975851,2379.367845
Africa,,1965,,1235.100893,
Africa,,1966,,1571.826917,
Africa,,1967,,1729.137039,
Africa,,1968,,2216.125949,
Africa,,1969,,2818.294394,
Africa,,1970,,3399.629209,30.17218664
Africa,,1971,,3181.029766,37.02293161
Africa,,1972,,3194.173461,65.13489833
Africa,,1973,,3346.921527,98.32223128
Africa,,1974,,3085.567264,102.6050787
Africa,,1975,,2831.092614,115.3312409
Africa,,1976,,3377.110139,137.2822441
Africa,,1977,,3541.035529,139.9769613
Africa,,1978,,3456.545199,186.690426
Africa,,1979,,3800.223799,283.3301718
Africa,,1980,,3492.487121,248.3035875
Algeria,DZA,1965,,304.0002025,
Algeria,DZA,1966,,391.2619967,
Algeria,DZA,1967,,449.4441623,
Algeria,DZA,1968,,493.3881905,
Algeria,DZA,1969,,516.7882778,
Algeria,DZA,1970,,561.8859318,24.3801445
Algeria,DZA,1971,,427.9567852,25.69877056
Algeria,DZA,1972,,578.3189753,32.56140105
Algeria,DZA,1973,,601.255093,43.21628457
Algeria,DZA,1974,,556.3107383,49.96341497
Algeria,DZA,1975,,544.3293482,61.52304922
Algeria,DZA,1976,,607.4248695,77.49093699
Algeria,DZA,1977,,648.4450044,74.16549683
Algeria,DZA,1978,,662.1581659,115.018842
Algeria,DZA,1979,,675.5451821,188.5346508
Algeria,DZA,1980,,599.4387565,154.0976233
Algeria,DZA,1981,,534.1273482,178.6485729
Algeria,DZA,1982,,531.3829025,233.1002765
Algeria,DZA,1983,,522.8083115,333.792897
Algeria,DZA,1984,,567.3807406,339.7590918
Algeria,DZA,1985,,547.3196424,373.3814487
Algeria,DZA,1986,,563.8136629,381.8946155
Algeria,DZA,1987,,583.7999057,431.0081448
Algeria,DZA,1988,,611.4503845,450.5814505
Algeria,DZA,1989,,633.6584115,485.8320087
Algeria,DZA,1990,,678.6743478,516.5701233
Algeria,DZA,1991,,682.6080562,557.0309256
Algeria,DZA,1992,,657.111405,580.011824
Algeria,DZA,1993,,655.0389508,587.46666
Algeria,DZA,1994,,652.1086888,540.1092621
Algeria,DZA,1995,,649.0848888,614.9134819
Algeria,DZA,1996,,686.3132804,652.513302
Algeria,DZA,1997,,716.0245029,748.5888089
Algeria,DZA,1998,,713.9167778,801.6216513
Algeria,DZA,1999,,680.685979,901.0698609
Algeria,DZA,2000,,776.73281,918.8870351
Algeria,DZA,2001,,764.68413,864.7260818
Algeria,DZA,2002,,824.49722,889.4165915
Algeria,DZA,2003,,918.82815,938.5766409
Algeria,DZA,2004,,971.69813,920.5501264
Algeria,DZA,2005,,1005.270102,849.1181793
Algeria,DZA,2006,,1002.52926,812.9955254
Algeria,DZA,2007,,1005.78566,816.4605282
Algeria,DZA,2008,,985.7705233,826.0085358
Algeria,DZA,2009,,898.23142,765.6693625
Algeria,DZA,2010,,858.00325,773.9661192
Algeria,DZA,2011,,833.58025,795.9881368
Algeria,DZA,2012,,781.67556,784.4381276
Algeria,DZA,2013,,753.43792,793.3893847
Algeria,DZA,2014,,799.80673,801.7246414
Algeria,DZA,2015,,781.82675,814.1120263
Algeria,DZA,2016,,795.68971,913.9233561
Algeria,DZA,2017,,775.11624,929.7661188
Algeria,DZA,2018,,759.81116,938.4382508
Algeria,DZA,2019,,747.99508,862.4006899
Angola,AGO,1965,,7.61765,
Angola,AGO,1966,,7.33853,
Angola,AGO,1967,,6.24531,
Angola,AGO,1968,,8.7225,
Angola,AGO,1969,,28.58654,
Angola,AGO,1970,,58.90595,
Angola,AGO,1971,,66.53523,
Angola,AGO,1972,,82.07291,
Angola,AGO,1973,,95.07525,
Angola,AGO,1974,,99.33183,
Angola,AGO,1975,,90.60933,
Angola,AGO,1976,,87.96932,
Angola,AGO,1977,,82.13106,
Angola,AGO,1978,,75.23447,
Angola,AGO,1979,,83.736,
Angola,AGO,1980,,86.38764,
Angola,AGO,1981,,83.24754,
Angola,AGO,1982,,74.5483,
Angola,AGO,1983,,102.2277,
Angola,AGO,1984,,117.16062,
Angola,AGO,1985,,133.18676,
Angola,AGO,1986,,161.95938,
Angola,AGO,1987,,203.59478,
Angola,AGO,1988,,259.5816,
Angola,AGO,1989,,263.32646,
Angola,AGO,1990,,271.9094,
Angola,AGO,1991,,285.09782,
Angola,AGO,1992,,315.78939,
Angola,AGO,1993,,288.5403,
Angola,AGO,1994,,318.94112,
Angola,AGO,1995,,362.54199,
Angola,AGO,1996,,411.28332,
Angola,AGO,1997,,424.495,
Angola,AGO,1998,,418.68,
Angola,AGO,1999,,426.821,
Angola,AGO,2000,,428.5655,
Angola,AGO,2001,,425.0765,
Angola,AGO,2002,,518.698,
Angola,AGO,2003,,498.1446353,
Angola,AGO,2004,,634.8000032,
Angola,AGO,2005,,726.1116509,
Angola,AGO,2006,,798.7351764,
Angola,AGO,2007,,944.1738358,
Angola,AGO,2008,,1073.33979,
Angola,AGO,2009,,1000.608126,
Angola,AGO,2010,,1034.238267,
Angola,AGO,2011,,954.0292642,
Angola,AGO,2012,,991.9908145,
Angola,AGO,2013,,990.9448441,
Angola,AGO,2014,,968.5163021,
Angola,AGO,2015,,1025.331721,
Angola,AGO,2016,,997.482266,
Angola,AGO,2017,,949.0654773,
Angola,AGO,2018,,861.6135782,
Angola,AGO,2019,,803.2154951,
Argentina,ARG,1965,,160.0841428,
Argentina,ARG,1966,,170.309319,
Argentina,ARG,1967,,185.6412683,
Argentina,ARG,1968,,203.3806276,
Argentina,ARG,1969,,210.5816028,
Argentina,ARG,1970,,232.6060155,58.54454684
Argentina,ARG,1971,,250.8691259,63.26603811
Argentina,ARG,1972,,258.395741,60.13944811
Argentina,ARG,1973,,251.2216352,65.48820239
Argentina,ARG,1974,,245.9135428,70.48685639
Argentina,ARG,1975,,235.6302166,74.80475984
Argentina,ARG,1976,,237.4164241,71.32320706
Argentina,ARG,1977,,256.580659,73.61830889
Argentina,ARG,1978,,269.9306959,75.95231076
Argentina,ARG,1979,,282.3543431,70.31180625
Argentina,ARG,1980,,293.855611,81.64630282
Argentina,ARG,1981,,299.3140914,84.95280546
Argentina,ARG,1982,,297.3943393,95.20782617
Argentina,ARG,1983,,298.5108193,127.7866022
Argentina,ARG,1984,,292.3986528,131.0931049
Argentina,ARG,1985,,280.9647586,135.0803581
Argentina,ARG,1986,,265.9624597,150.8348707
Argentina,ARG,1987,,262.5191776,147.3338679
Argentina,ARG,1988,,275.8607928,174.6611397
Argentina,ARG,1989,,281.794499,184.6778977
Argentina,ARG,1990,,295.8270966,173.4941388
Argentina,ARG,1991,,301.00766,193.8194051
Argentina,ARG,1992,,337.7404134,195.3754063
Argentina,ARG,1993,,361.3188348,209.2821674
Argentina,ARG,1994,,401.36293,216.5759233
Argentina,ARG,1995,,435.6241079,243.2224446
Argentina,ARG,1996,,474.69008,281.3444751
Argentina,ARG,1997,,504.5743676,266.270713
Argentina,ARG,1998,,512.0464421,287.7629802
Argentina,ARG,1999,,484.8414924,336.193519
Argentina,ARG,2000,,480.8711048,363.812541
Argentina,ARG,2001,,510.8962582,361.1867889
Argentina,ARG,2002,,503.2772494,351.1700309
Argentina,ARG,2003,,501.183471,399.1143193
Argentina,ARG,2004,,477.1304695,436.4583492
Argentina,ARG,2005,,457.8623616,443.752105
Argentina,ARG,2006,,458.6077413,448.3228587
Argentina,ARG,2007,,444.4342711,435.9720988
Argentina,ARG,2008,,439.6697565,428.4838428
Argentina,ARG,2009,,395.9277817,403.0122344
Argentina,ARG,2010,,387.0292603,389.9702696
Argentina,ARG,2011,,362.6854727,377.1787528
Argentina,ARG,2012,,358.6778844,366.9123265
Argentina,ARG,2013,,351.0625726,345.5588121
Argentina,ARG,2014,,346.4147263,344.8590714
Argentina,ARG,2015,,349.4313565,354.9117264
Argentina,ARG,2016,,332.9761652,372.8238624
Argentina,ARG,2017,,316.8029334,371.49918
Argentina,ARG,2018,,320.3175438,394.2542139
Argentina,ARG,2019,,335.3412935,416.1584986
Asia Pacific,,1981,5794.428639,2814.622045,722.1426517
Asia Pacific,,1982,6087.912415,2756.823545,750.4526135
Asia Pacific,,1983,6441.064341,2960.27538,847.291464
Asia Pacific,,1984,6972.645607,3255.489345,986.035393
Asia Pacific,,1985,7713.642722,3365.334436,1068.989559
Asia Pacific,,1986,7983.542529,3488.19871,1179.519671
Asia Pacific,,1987,8301.508406,3519.841482,1254.882282
Asia Pacific,,1988,8642.707185,3557.666168,1340.643842
Asia Pacific,,1989,9266.090075,3661.528224,1383.83014
Asia Pacific,,1990,9533.321119,3791.295398,1492.54388
Asia Pacific,,1991,9720.046127,3898.680604,1623.891104
Asia Pacific,,1992,10055.37539,3892.512249,1717.208088
Asia Pacific,,1993,10318.98972,3916.549903,1818.438262
Asia Pacific,,1994,10899.83848,4025.68495,1982.191668
Asia Pacific,,1995,11815.58415,4096.689218,2083.04359
Asia Pacific,,1996,12237.88688,4232.75556,2274.269656
Asia Pacific,,1997,12410.3969,4274.90679,2421.406234
Asia Pacific,,1998,12138.95694,4256.513383,2461.221896
Asia Pacific,,1999,12474.37441,4215.497632,2615.27861
Asia Pacific,,2000,12980.59446,4438.421337,2774.57487
Asia Pacific,,2001,13783.21003,4395.320315,2854.962901
Asia Pacific,,2002,14601.44168,4407.667778,3040.901446
Asia Pacific,,2003,16544.33556,4361.967232,3232.663357
Asia Pacific,,2004,18872.34736,4409.028819,3443.819956
Asia Pacific,,2005,20861.74443,4453.457964,3720.276465
Asia Pacific,,2006,22341.96505,4430.128806,3895.273098
Asia Pacific,,2007,24013.38938,4440.920563,4070.625085
Asia Pacific,,2008,25065.51041,4518.889353,4263.798698
Asia Pacific,,2009,26039.02928,4470.690932,4445.932811
Asia Pacific,,2010,27898.6509,4691.22346,4898.297808
Asia Pacific,,2011,30600.0783,4603.208476,4946.552832
Asia Pacific,,2012,31321.26248,4662.513897,5040.174091
Asia Pacific,,2013,32419.99295,4586.752733,5142.239971
Asia Pacific,,2014,32302.51772,4594.686323,5355.145606
Asia Pacific,,2015,32012.14074,4649.472032,5634.720381
Asia Pacific,,2016,30578.02414,4462.621233,5827.943391
Asia Pacific,,2017,31223.76245,4300.834284,6084.590303
Asia Pacific,,2018,33327.75523,4198.864689,6320.452842
Asia Pacific,,2019,34644.41431,4207.606721,6721.32323
Asia Pacific,,1965,,522.2455403,
Asia Pacific,,1966,,581.6402987,
Asia Pacific,,1967,,616.696426,
Asia Pacific,,1968,,721.6399487,
Asia Pacific,,1969,,830.6772727,
Asia Pacific,,1970,,1148.65493,151.0166378
Asia Pacific,,1971,,1379.343175,178.6079861
Asia Pacific,,1972,,1624.507543,207.6675564
Asia Pacific,,1973,,1939.576548,257.7181567
Asia Pacific,,1974,,2067.826022,313.4819321
Asia Pacific,,1975,,2198.217689,355.1058517
Asia Pacific,,1976,,2508.107355,409.5757169
Asia Pacific,,1977,,2738.540636,498.6613113
Asia Pacific,,1978,,2862.073684,593.3847232
Asia Pacific,,1979,,2935.819936,674.8680468
Asia Pacific,,1980,,2847.719661,718.8770274
Australia,AUS,1981,788.571832,247.3820876,119.9444855
Australia,AUS,1982,804.9549483,243.9309087,116.9809289
Australia,AUS,1983,838.7413898,237.447056,127.0749222
Australia,AUS,1984,880.9180267,307.9994052,125.317364
Australia,AUS,1985,1074.34653,356.8410825,133.9527305
Australia,AUS,1986,1142.860445,318.8083821,146.3293983
Australia,AUS,1987,1193.668501,338.8720361,149.3947104
Australia,AUS,1988,1173.294451,321.6083179,152.9935123
Australia,AUS,1989,1274.67902,303.3327608,177.0757814
Australia,AUS,1990,1334.60228,352.0992431,206.1116353
Australia,AUS,1991,1384.425383,332.7697279,215.7651725
Australia,AUS,1992,1477.236436,327.9468497,233.3361396
Australia,AUS,1993,1484.101252,305.8865226,243.839223
Australia,AUS,1994,1516.911565,329.3391133,279.9123903
Australia,AUS,1995,1591.819263,310.1140088,295.9599203
Australia,AUS,1996,1640.683569,326.4059734,296.3372666
Australia,AUS,1997,1789.115721,346.4353834,296.3767077
Australia,AUS,1998,1832.103251,328.025512,302.7373213
Australia,AUS,1999,1931.919466,319.4973058,307.1255766
Australia,AUS,2000,1996.821382,431.3765421,311.9235537
Australia,AUS,2001,2157.922691,399.1474766,326.4134395
Australia,AUS,2002,2224.04811,396.6678127,330.011861
Australia,AUS,2003,2299.049544,343.3505031,337.4525285
Australia,AUS,2004,2388.832948,299.859212,359.3034135
Australia,AUS,2005,2501.290446,294.5562402,382.3531028
Australia,AUS,2006,2556.842513,273.4156246,406.8225974
Australia,AUS,2007,2640.857387,284.6232159,427.51219
Australia,AUS,2008,2720.623678,280.5913031,416.8293678
Australia,AUS,2009,2822.836144,260.2149297,466.9763018
Australia,AUS,2010,2914.791797,285.2874173,540.1066056
Australia,AUS,2011,2850.815648,250.3698704,556.5071586
Australia,AUS,2012,3091.911665,248.6808649,595.2614197
Australia,AUS,2013,3323.74593,207.1204557,618.0019733
Australia,AUS,2014,3559.452445,222.0796811,666.4417343
Australia,AUS,2015,3555.70546,197.5434732,760.3900302
Australia,AUS,2016,3563.058602,181.5344419,964.1930265
Australia,AUS,2017,3473.31617,173.82706,1128.206528
Australia,AUS,2018,3627.980743,176.3248934,1301.029791
Australia,AUS,2019,3652.20938,239.8472006,1534.642199
Australia,AUS,1965,,4.026375339,
Australia,AUS,1966,,5.176768293,
Australia,AUS,1967,,12.07912602,
Australia,AUS,1968,,22.49412195,
Australia,AUS,1969,,25.88384146,
Australia,AUS,1970,,101.2345799,17.30398846
Australia,AUS,1971,,177.420345,25.82670002
Australia,AUS,1972,,189.3364652,37.07429252
Australia,AUS,1973,,237.1872259,47.06883758
Australia,AUS,1974,,234.6771874,53.70203316
Australia,AUS,1975,,251.4620157,57.67001672
Australia,AUS,1976,,257.4990247,68.07727185
Australia,AUS,1977,,272.4299107,77.76849987
Australia,AUS,1978,,269.709628,83.72544763
Australia,AUS,1979,,270.7033295,96.37525988
Australia,AUS,1980,,253.984691,110.6659676
Azerbaijan,AZE,1985,,153.8649,137.1722336
Azerbaijan,AZE,1986,,151.7715,132.5900766
Azerbaijan,AZE,1987,,161.7733,121.8658792
Azerbaijan,AZE,1988,,159.7962,116.016317
Azerbaijan,AZE,1989,,153.0508,108.2169007
Azerbaijan,AZE,1990,,145.375,96.51777633
Azerbaijan,AZE,1991,,136.928131,83.84372489
Azerbaijan,AZE,1992,,130.205991,77.01923566
Azerbaijan,AZE,1993,,119.222619,66.29503829
Azerbaijan,AZE,1994,,111.215364,62.39533015
Azerbaijan,AZE,1995,,106.550571,64.34518422
Azerbaijan,AZE,1996,,105.837652,57.29646177
Azerbaijan,AZE,1997,,104.98401,54.56666607
Azerbaijan,AZE,1998,,133.15187,50.92043897
Azerbaijan,AZE,1999,,161.08713,54.56666607
Azerbaijan,AZE,2000,,163.62247,51.44689956
Azerbaijan,AZE,2001,,174.20577,50.43297545
Azerbaijan,AZE,2002,,178.33442,46.77699907
Azerbaijan,AZE,2003,,178.84614,46.63076002
Azerbaijan,AZE,2004,,179.78817,45.43159977
Azerbaijan,AZE,2005,,258.351146,55.88379249
Azerbaijan,AZE,2006,,375.272188,65.93821499
Azerbaijan,AZE,2007,,504.275637,105.6050712
Azerbaijan,AZE,2008,,527.175107,159.2689548
Azerbaijan,AZE,2009,,591.578558,159.1344149
Azerbaijan,AZE,2010,,596.820199,162.5466595
Azerbaijan,AZE,2011,,536.08485,159.5117117
Azerbaijan,AZE,2012,,508.676429,168.0978941
Azerbaijan,AZE,2013,,509.91735,174.4641676
Azerbaijan,AZE,2014,,494.425027,183.8409221
Azerbaijan,AZE,2015,,488.691437,187.8406753
Azerbaijan,AZE,2016,,481.802988,182.7755462
Azerbaijan,AZE,2017,,454.608559,177.5864171
Azerbaijan,AZE,2018,,455.876229,190.4663109
Azerbaijan,AZE,2019,,443.3847233,243.182425
Bahrain,BHR,1970,,,6.501175201
Bahrain,BHR,1971,,,9.478457583
Bahrain,BHR,1972,,,11.82771946
Bahrain,BHR,1973,,,16.77047342
Bahrain,BHR,1974,,,20.67815654
Bahrain,BHR,1975,,,21.75974741
Bahrain,BHR,1976,,,22.80644825
Bahrain,BHR,1977,,,24.73702979
Bahrain,BHR,1978,,,27.17933174
Bahrain,BHR,1979,,,30.13335411
Bahrain,BHR,1980,,,24.45790957
Bahrain,BHR,1981,,,22.67851814
Bahrain,BHR,1982,,,35.80879865
Bahrain,BHR,1983,,,37.53004002
Bahrain,BHR,1984,,,38.66978094
Bahrain,BHR,1985,,,47.20620776
Bahrain,BHR,1986,,,54.04465324
Bahrain,BHR,1987,,,52.50949201
Bahrain,BHR,1988,,,55.77752462
Bahrain,BHR,1989,,,58.02211642
Bahrain,BHR,1990,,,60.76679861
Bahrain,BHR,1991,,,57.92907634
Bahrain,BHR,1992,,,67.68665415
Bahrain,BHR,1993,,,72.501478
Bahrain,BHR,1994,,,74.22271938
Bahrain,BHR,1995,,,75.45550036
Bahrain,BHR,1996,,,77.70009216
Bahrain,BHR,1997,,,83.42205674
Bahrain,BHR,1998,,,87.71353017
Bahrain,BHR,1999,,,90.76059261
Bahrain,BHR,2000,,,91.7491434
Bahrain,BHR,2001,,,95.54052643
Bahrain,BHR,2002,,,98.9946392
Bahrain,BHR,2003,,,100.7740306
Bahrain,BHR,2004,,,92.69896305
Bahrain,BHR,2005,,,101.7429333
Bahrain,BHR,2006,,,107.6321577
Bahrain,BHR,2007,,,111.9863529
Bahrain,BHR,2008,,,120.1758789
Bahrain,BHR,2009,,,121.3351411
Bahrain,BHR,2010,,,124.2866601
Bahrain,BHR,2011,,,126.2408934
Bahrain,BHR,2012,,,130.5186493
Bahrain,BHR,2013,,,139.5784102
Bahrain,BHR,2014,,,146.9653655
Bahrain,BHR,2015,,,147.5712103
Bahrain,BHR,2016,,,144.0652758
Bahrain,BHR,2017,,,144.6633462
Bahrain,BHR,2018,,,146.4746785
Bahrain,BHR,2019,,,168.9952704
Bangladesh,BGD,1970,,,0
Bangladesh,BGD,1971,,,0
Bangladesh,BGD,1972,,,4.396143517
Bangladesh,BGD,1973,,,6.082494866
Bangladesh,BGD,1974,,,6.68725535
Bangladesh,BGD,1975,,,6.722145378
Bangladesh,BGD,1976,,,8.85043708
Bangladesh,BGD,1977,,,9.873877899
Bangladesh,BGD,1978,,,10.89731872
Bangladesh,BGD,1979,,,12.53715003
Bangladesh,BGD,1980,,,14.1188313
Bangladesh,BGD,1981,,,13.61386747
Bangladesh,BGD,1982,,,17.67486097
Bangladesh,BGD,1983,,,19.66720073
Bangladesh,BGD,1984,,,22.70068111
Bangladesh,BGD,1985,,,25.78049497
Bangladesh,BGD,1986,,,29.07017226
Bangladesh,BGD,1987,,,34.15595338
Bangladesh,BGD,1988,,,40.20111015
Bangladesh,BGD,1989,,,42.4987058
Bangladesh,BGD,1990,,,45.7420496
Bangladesh,BGD,1991,,,47.10752459
