Entity,Code,Year,WindGeneration,SolarGeneration,GeoBiomassOther,HydroGeneration
Africa,,1965,0,0,0,13.90563517
Africa,,1966,0,0,0,15.51000414
Africa,,1967,0,0,0,16.19063636
Africa,,1968,0,0,0,18.93834056
Africa,,1969,0,0,0,22.10088962
Africa,,1970,0,0,0,27.63042982
Africa,,1971,0,0,0.164,26.0133909
Africa,,1972,0,0,0.165,29.63319642
Africa,,1973,0,0,0.17,31.34570755
Africa,,1974,0,0,0.175,35.66707429
Africa,,1975,0,0,0.172,37.71796997
Africa,,1976,0,0,0.185,41.79763324
Africa,,1977,0,0,0.189,45.92876812
Africa,,1978,0,0,0.195,46.30693874
Africa,,1979,0,0,0.201,49.56523298
Africa,,1980,0,0,0.207,48.31178436
Africa,,1981,0,0,0.218,50.19290606
Africa,,1982,0,0,0.236,50.20623713
Africa,,1983,0,0,0.23,45.24716006
Africa,,1984,0,0,0.234,44.48997332
Africa,,1985,0,0,0.269,49.44968505
Africa,,1986,0,0,0.659,51.1453733
Africa,,1987,0,0,0.658,49.05646031
Africa,,1988,0,0,0.626,53.59345636
Africa,,1989,0,0,0.617,56.27621477
Africa,,1990,0,0,0.765731343,57.25465912
Africa,,1991,0,0,0.788,60.65148841
Africa,,1992,0,0,0.82425,57.86029168
Africa,,1993,0.002,0,0.9157,56.68250727
Africa,,1994,0.0054,0,0.821,57.59604857
Africa,,1995,0.0063,0,1.0207,59.76887687
Africa,,1996,0.0071,0,1.260093088,62.31645867
Africa,,1997,0.0072,0,1.388640408,63.85249756
Africa,,1998,0.0076,0,1.714549286,66.65488788
Africa,,1999,0.0198,0,1.696124799,70.68426132
Africa,,2000,0.176,0.013141,2.269063158,75.24581662
Africa,,2001,0.41608,0.01636,2.335352632,80.86411472
Africa,,2002,0.444584,0.01947101,2.2864,85.18146813
Africa,,2003,0.541199,0.02302901,2.6224,82.87260146
Africa,,2004,0.769280505,0.02746101,2.9841,87.40546926
Africa,,2005,0.782382111,0.03237601,3.0148,89.06573418
Africa,,2006,0.852565606,0.04065701,3.77529,92.24055301
Africa,,2007,1.016223364,0.053333293,3.14685,95.34056181
Africa,,2008,1.312178131,0.075132202,3.271422,97.15720925
Africa,,2009,1.589730939,0.098152927,3.56272219,99.7611369
Africa,,2010,2.284182434,0.21382075,3.829542064,107.4268326
Africa,,2011,2.537472939,0.452785301,3.929656611,110.444821
Africa,,2012,2.96173124,0.551142126,4.089949862,110.9523002
Africa,,2013,3.559784303,0.82434814,4.438767925,117.6728464
Africa,,2014,5.158121834,1.83130817,5.552723204,123.7267948
Africa,,2015,8.888286283,3.595709874,7.13598651,119.8568199
Africa,,2016,11.30582067,4.939309565,7.206840106,115.80125
Africa,,2017,12.4581791,6.984050652,7.571012851,123.8156247
Africa,,2018,14.28779541,9.850222858,8.059533374,130.3878399
Africa,,2019,17.5080525,19.37797783,8.184247278,132.7347905
Algeria,DZA,1965,0,0,0,0.4
Algeria,DZA,1966,0,0,0,0.355
Algeria,DZA,1967,0,0,0,0.41
Algeria,DZA,1968,0,0,0,0.563
Algeria,DZA,1969,0,0,0,0.361
Algeria,DZA,1970,0,0,0,0.58
Algeria,DZA,1971,0,0,0,0.33
Algeria,DZA,1972,0,0,0,0.495
Algeria,DZA,1973,0,0,0,0.752
Algeria,DZA,1974,0,0,0,0.497
Algeria,DZA,1975,0,0,0,0.328
Algeria,DZA,1976,0,0,0,0.389
Algeria,DZA,1977,0,0,0,0.269
Algeria,DZA,1978,0,0,0,0.25
Algeria,DZA,1979,0,0,0,0.291
Algeria,DZA,1980,0,0,0,0.257
Algeria,DZA,1981,0,0,0,0.366
Algeria,DZA,1982,0,0,0,0.479
Algeria,DZA,1983,0,0,0,0.235
Algeria,DZA,1984,0,0,0,0.452
Algeria,DZA,1985,0,0,0,0.646
Algeria,DZA,1986,0,0,0,0.25
Algeria,DZA,1987,0,0,0,0.499
Algeria,DZA,1988,0,0,0,0.183
Algeria,DZA,1989,0,0,0,0.226
Algeria,DZA,1990,0,0,0,0.135
Algeria,DZA,1991,0,0,0,0.293
Algeria,DZA,1992,0,0,0,0.199
Algeria,DZA,1993,0,0,0,0.353
Algeria,DZA,1994,0,0,0,0.166
Algeria,DZA,1995,0,0,0,0.193
Algeria,DZA,1996,0,0,0,0.135
Algeria,DZA,1997,0,0,0,0.075
Algeria,DZA,1998,0,0,0,0.215
Algeria,DZA,1999,0,0,0,0.203
Algeria,DZA,2000,0,0,0,0.054
Algeria,DZA,2001,0,0,0,0.069
Algeria,DZA,2002,0,0,0,0.057
Algeria,DZA,2003,0,0,0,0.265
Algeria,DZA,2004,0,0,0,0.251
Algeria,DZA,2005,0,0,0,0.5553
Algeria,DZA,2006,0,0,0,0.2176
Algeria,DZA,2007,0,0,0,0.226
Algeria,DZA,2008,0,0,0,0.283
Algeria,DZA,2009,0,0,0,0.342
Algeria,DZA,2010,0,0.0091,0,0.173
Algeria,DZA,2011,0,0.01811875,0,0.378
Algeria,DZA,2012,0,0.026723014,0,0.389
Algeria,DZA,2013,0,0.0286,0,0.099
Algeria,DZA,2014,0.001,0.06,0,0.193
Algeria,DZA,2015,0.019,0.058,0,0.145
Algeria,DZA,2016,0.019052055,0.245,0,0.072
