Entity,Code,Year,GasReserves
Africa,,1999,1.09577E+13
Africa,,2009,1.4172E+13
Africa,,2018,1.46646E+13
Africa,,2019,5.26998E+14
Algeria,DZA,1999,4.3505E+12
Algeria,DZA,2009,4.3351E+12
Algeria,DZA,2018,4.3351E+12
Algeria,DZA,2019,1.53093E+14
Argentina,ARG,1999,7.08953E+11
Argentina,ARG,2009,3.68265E+11
Argentina,ARG,2018,3.60488E+11
Argentina,ARG,2019,1.27305E+13
Asia Pacific,,1999,9.48377E+12
Asia Pacific,,2009,1.39251E+13
Asia Pacific,,2018,1.68851E+13
Asia Pacific,,2019,6.23502E+14
Australia,AUS,1999,1.55142E+12
Australia,AUS,2009,2.75344E+12
Australia,AUS,2018,2.3896E+12
Australia,AUS,2019,8.43878E+13
Azerbaijan,AZE,1999,9.902E+11
Azerbaijan,AZE,2009,1.01738E+12
Azerbaijan,AZE,2018,2.13051E+12
Azerbaijan,AZE,2019,1.005E+14
Bahrain,BHR,1999,2.8851E+11
Bahrain,BHR,2009,2.2005E+11
Bahrain,BHR,2018,1.82927E+11
Bahrain,BHR,2019,2.7265E+12
Bangladesh,BGD,1999,3.10888E+11
Bangladesh,BGD,2009,3.5035E+11
Bangladesh,BGD,2018,1.20421E+11
Bangladesh,BGD,2019,4.25264E+12
Bolivia,BOL,1999,1.44827E+11
Bolivia,BOL,2009,2.71648E+11
Bolivia,BOL,2018,2.29946E+11
Bolivia,BOL,2019,7.51735E+12
Brazil,BRA,1999,2.38161E+11
Brazil,BRA,2009,3.78474E+11
Brazil,BRA,2018,3.80347E+11
Brazil,BRA,2019,1.32529E+13
Brunei,BRN,1999,3.6465E+11
Brunei,BRN,2009,3.01275E+11
Brunei,BRN,2018,2.34E+11
Brunei,BRN,2019,8.26363E+12
CIS,,1999,3.98355E+13
CIS,,2009,4.6571E+13
CIS,,2018,6.35559E+13
CIS,,2019,2.26676E+15
Canada,CAN,1999,1.63735E+12
Canada,CAN,2009,1.6454E+12
Canada,CAN,2018,1.91251E+12
Canada,CAN,2019,7.00887E+13
China,CHN,1999,1.37765E+12
China,CHN,2009,2.86821E+12
China,CHN,2018,6.36393E+12
China,CHN,2019,2.96592E+14
Colombia,COL,1999,1.8095E+11
Colombia,COL,2009,1.29107E+11
Colombia,COL,2018,1.03078E+11
Colombia,COL,2019,3.64018E+12
Denmark,DNK,1999,1.48035E+11
Denmark,DNK,2009,66500247520
Denmark,DNK,2018,29189525.14
Denmark,DNK,2019,1010663297
Egypt,EGY,1999,1.17714E+12
Egypt,EGY,2009,2.10788E+12
Egypt,EGY,2018,2.13771E+12
Egypt,EGY,2019,7.54926E+13
Europe,,1999,5.62506E+12
Europe,,2009,5.28398E+12
Europe,,2018,3.44768E+12
Europe,,2019,1.18659E+14
Europe (other),,1999,2.02866E+11
Europe (other),,2009,1.6401E+11
Europe (other),,2018,1.39344E+11
Europe (other),,2019,4.78892E+12
Germany,DEU,1999,2.37416E+11
Germany,DEU,2009,86428112400
Germany,DEU,2018,26640608400
