Entity,Code,Year,OilReserves
Africa,,1999,84719524000
Africa,,2009,1.22973E+11
Africa,,2018,1.25698E+11
Africa,,2019,16648502532
Algeria,DZA,1999,11314000000
Algeria,DZA,2009,12200000000
Algeria,DZA,2018,12200000000
Algeria,DZA,2019,1536523929
Angola,AGO,1999,5050000000
Angola,AGO,2009,9500000000
Angola,AGO,2018,8160000000
Angola,AGO,2019,1101214575
Argentina,ARG,1999,3071188790
Argentina,ARG,2009,2511496271
Argentina,ARG,2018,2386858073
Argentina,ARG,2019,329221803.2
Asia Pacific,,1999,37027733901
Asia Pacific,,2009,46596797166
Asia Pacific,,2018,46010602956
Asia Pacific,,2019,6127667075
Australia,AUS,1999,4742517301
Australia,AUS,2009,4061399985
Australia,AUS,2018,2390342096
Australia,AUS,2019,263103671.5
Azerbaijan,AZE,1999,1178000000
Azerbaijan,AZE,2009,7000000000
Azerbaijan,AZE,2018,7000000000
Azerbaijan,AZE,2019,958904109.6
Brazil,BRA,1999,8153311842
Brazil,BRA,2009,12875670000
Brazil,BRA,2018,13435306573
Brazil,BRA,2019,1848030523
Brunei,BRN,1999,1300000000
Brunei,BRN,2009,1100000000
Brunei,BRN,2018,1100000000
Brunei,BRN,2019,149863760.2
CIS,,1999,1.2008E+11
CIS,,2009,1.44008E+11
CIS,,2018,1.45656E+11
CIS,,2019,19775120297
Canada,CAN,1999,1.8156E+11
Canada,CAN,2009,1.75015E+11
Canada,CAN,2018,1.70768E+11
Canada,CAN,2019,27293817098
Chad,TCD,1999,0
Chad,TCD,2009,1500000000
Chad,TCD,2018,1500000000
Chad,TCD,2019,215827338.1
China,CHN,1999,15111900000
China,CHN,2009,21617621340
China,CHN,2018,26190090000
China,CHN,2019,3573000000
Colombia,COL,1999,2289200000
Colombia,COL,2009,1360000000
Colombia,COL,2018,1782208000
Colombia,COL,2019,282828282.8
Congo,COG,1999,1700000000
Congo,COG,2009,2000000000
Congo,COG,2018,2982000000
Congo,COG,2019,421186440.7
Denmark,DNK,1999,905732747.1
Denmark,DNK,2009,918312368.6
Denmark,DNK,2018,440286752.1
Denmark,DNK,2019,58783277.98
Ecuador,ECU,1999,2587526941
Ecuador,ECU,2009,2662908824
Ecuador,ECU,2018,1632307700
Ecuador,ECU,2019,239692760.6
Egypt,EGY,1999,3767000000
Egypt,EGY,2009,4400000000
Egypt,EGY,2018,3075000000
Egypt,EGY,2019,401461658.8
Equatorial Guinea,GNQ,1999,555000000
Equatorial Guinea,GNQ,2009,1705000000
Equatorial Guinea,GNQ,2018,1100000000
Equatorial Guinea,GNQ,2019,149253731.3
Europe,,1999,20733155668
Europe,,2009,13999276509
Europe,,2018,14573523308
Europe,,2019,1881794801
Europe (other),,1999,2040868595
Europe (other),,2009,2040266737
Europe (other),,2018,1614749443
Europe (other),,2019,227564563.5
Gabon,GAB,1999,2565000000
Gabon,GAB,2009,2000000000
Gabon,GAB,2018,2000000000
Gabon,GAB,2019,273597811.2
India,IND,1999,4972209600
India,IND,2009,5822873700
India,IND,2018,4476577470
India,IND,2019,618940000
Indonesia,IDN,1999,5200000000
Indonesia,IDN,2009,4303000000
Indonesia,IDN,2018,3154300000
Indonesia,IDN,2019,343564315.4
Iran,IRN,1999,93100000000
Iran,IRN,2009,1.3701E+11
Iran,IRN,2018,1.556E+11
Iran,IRN,2019,21373626374
Iraq,IRQ,1999,1.125E+11
Iraq,IRQ,2009,1.15E+11
Iraq,IRQ,2018,1.45019E+11
Iraq,IRQ,2019,19570715250
Italy,ITA,1999,635796000
Italy,ITA,2009,527998302
Italy,ITA,2018,573972408
Italy,ITA,2019,72904000
Kazakhstan,KAZ,1999,5400000000
Kazakhstan,KAZ,2009,30000000000
Kazakhstan,KAZ,2018,30000000000
Kazakhstan,KAZ,2019,3931847969
Kuwait,KWT,1999,96500000000
Kuwait,KWT,2009,1.015E+11
Kuwait,KWT,2018,1.015E+11
Kuwait,KWT,2019,13980716253
Libya,LBY,1999,29500000000
Libya,LBY,2009,46422000000
Libya,LBY,2018,48363000000
Libya,LBY,2019,6297265625
Malaysia,MYS,1999,2125530000
Malaysia,MYS,2009,3634000000
Malaysia,MYS,2018,2836200000
Malaysia,MYS,2019,371230366.5
Mexico,MEX,1999,21519000000
Mexico,MEX,2009,11865500000
Mexico,MEX,2018,5796000000
Mexico,MEX,2019,803609746.1
Middle East,,1999,6.85834E+11
Middle East,,2009,7.53116E+11
Middle East,,2018,8.33864E+11
Middle East,,2019,1.12911E+11
Nigeria,NGA,1999,29000000000
Nigeria,NGA,2009,37200000000
Nigeria,NGA,2018,36972000000
Nigeria,NGA,2019,4989473684
North America,,1999,2.3275E+11
North America,,2009,2.17753E+11
North America,,2018,2.45458E+11
North America,,2019,36294728514
Norway,NOR,1999,10937958326
Norway,NOR,2009,7077699102
Norway,NOR,2018,8644514705
Norway,NOR,2019,1082649485
Oman,OMN,1999,5744000000
Oman,OMN,2009,5500000000
Oman,OMN,2018,5373000000
Oman,OMN,2019,729036635
Other Africa,,1999,698424000
Other Africa,,2009,621490000
Other Africa,,2018,3920565333
Other Africa,,2019,532667325.3
Other Asia & Pacific,,1999,1417107000
Other Asia & Pacific,,2009,1122902141
Other Asia & Pacific,,2018,1170493391
Other Asia & Pacific,,2019,178268405
Other CIS,,1999,250000000
Other CIS,,2009,250000000
Other CIS,,2018,250000000
Other CIS,,2019,34246575.34
Other Middle East,,1999,152910000
Other Middle East,,2009,309040000
Other Middle East,,2018,156730000
Other Middle East,,2019,24365480.78
Other S. & Cent. America,,1999,1277356000
Other S. & Cent. America,,2009,769259000
Other S. & Cent. America,,2018,519439000
Other S. & Cent. America,,2019,75832739.71
Peru,PER,1999,890600000
Peru,PER,2009,1121480000
Peru,PER,2018,858890000
Peru,PER,2019,100723735.5
Qatar,QAT,1999,13102800000
Qatar,QAT,2009,25907000000
Qatar,QAT,2018,25244000000
Qatar,QAT,2019,2646173575
Romania,ROU,1999,1225300000
Romania,ROU,2009,600000000
Romania,ROU,2018,600000000
Romania,ROU,2019,79893475.37
Russia,RUS,1999,1.12112E+11
Russia,RUS,2009,1.05564E+11
Russia,RUS,2018,1.07212E+11
Russia,RUS,2019,14686560000
Saudi Arabia,SAU,1999,2.62784E+11
Saudi Arabia,SAU,2009,2.6459E+11
Saudi Arabia,SAU,2018,2.97671E+11
Saudi Arabia,SAU,2019,40876098901
South & Central America,,1999,95938153574
South & Central America,,2009,2.33304E+11
South & Central America,,2018,3.24664E+11
South & Central America,,2019,50943840439
South Sudan,SSD,2018,3500000000
South Sudan,SSD,2019,472334682.9
Sudan,SDN,1999,262100000
Sudan,SDN,2009,5000000000
Sudan,SDN,2018,1500000000
Sudan,SDN,2019,202429149.8
Syria,SYR,1999,2300000000
Syria,SYR,2009,2500000000
Syria,SYR,2018,2500000000
Syria,SYR,2019,341064120.1
Thailand,THA,1999,358470000
Thailand,THA,2009,435000000
Thailand,THA,2018,292600000
Thailand,THA,2019,35101962.14
Trinidad and Tobago,TTO,1999,820970000
Trinidad and Tobago,TTO,2009,830000000
Trinidad and Tobago,TTO,2018,242982000
Trinidad and Tobago,TTO,2019,32969063.77
Tunisia,TUN,1999,308000000
Tunisia,TUN,2009,425000000
Tunisia,TUN,2018,425000000
Tunisia,TUN,2019,55266579.97
Turkmenistan,TKM,1999,546000000
Turkmenistan,TKM,2009,600000000
Turkmenistan,TKM,2018,600000000
Turkmenistan,TKM,2019,82191780.82
United Arab Emirates,ARE,1999,97800000000
United Arab Emirates,ARE,2009,97800000000
United Arab Emirates,ARE,2018,97800000000
United Arab Emirates,ARE,2019,12975985140
United Kingdom,GBR,1999,4987500000
United Kingdom,GBR,2009,2835000000
United Kingdom,GBR,2018,2700000000
United Kingdom,GBR,2019,360000000
United States,USA,1999,29671000000
United States,USA,2009,30872000000
United States,USA,2018,68894000000
United States,USA,2019,8197301670
Uzbekistan,UZB,1999,594000000
Uzbekistan,UZB,2009,594000000
Uzbekistan,UZB,2018,594000000
Uzbekistan,UZB,2019,81369863.01
Venezuela,VEN,1999,76848000000
Venezuela,VEN,2009,2.11173E+11
Venezuela,VEN,2018,3.03806E+11
Venezuela,VEN,2019,48034541530
Vietnam,VNM,1999,1800000000
Vietnam,VNM,2009,4500000000
Vietnam,VNM,2018,4400000000
Vietnam,VNM,2019,594594594.6
World,OWID_WRL,1999,1.27708E+12
World,OWID_WRL,2009,1.53175E+12
World,OWID_WRL,2018,1.73592E+12
World,OWID_WRL,2019,2.44583E+11
Yemen,YEM,1999,1850000000
Yemen,YEM,2009,3000000000
Yemen,YEM,2018,3000000000
Yemen,YEM,2019,393184796.9
